determinand.definition,sample.sampleDateTime,sample.samplingPoint.easting,sample.samplingPoint.northing,sample.sampledMaterialType.label,Ammoniacal Nitrogen as N,pH,"Nitrogen, Total Oxidised as N",Nitrate as N,Nitrite as N,"Orthophosphate, reactive as P","Oxygen, Dissolved, % Saturation",Salinity : In Situ,Temperature of Water,BOD : 5 Day ATU,"Oxygen, Dissolved as O2","Nitrate, Filtered as N","Ammoniacal Nitrogen, Filtered as N","Nitrite, Filtered as N","Orthophosphate, Filtered as P","Nitrogen, Total Oxidised, Filtered as N",Turbidity : In Situ,Chlorophyll : Acetone Extract,Sample Depth below surface,Water Depth,Volume of Sample Filtered,NGR : Easting,NGR : Northing,"Nitrogen, Dissolved Inorganic : as N",Time of high tide,Time of sampling relative to previous high water,"Silicate, Filtered as SiO2"
determinand.notation,,,,,111,61,116,117,118,180,9901,7608,76,85,9924,9853,9993,6485,9856,9943,3976,7887,6,3428,4865,6019,6020,4925,4,7342,9857
0,2001-01-17T12:50:00,470680,105280,FINAL SEWAGE EFFLUENT,21.9,7.55,2.8,2.7,0.1,2.84,,,,3.7,,,,,,,,,,,,,,,,,
1,2001-01-17T13:08:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.043,8.45,8.74,8.73,0.0125,0.057,111.6,,6.7,1.6,,,,,,,,,,,,,,,,,
2,2001-01-17T14:28:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.9,8.75,8.74,0.0077,0.04,106.1,,8.1,1.4,,,,,,,,,,,,,,,,,
3,2001-01-18T05:34:00,468670,99700,ESTUARINE WATER,0.049,7.95,0.56,0.5539999999999999,0.006,0.037000000000000005,107.0,33.3,5.0,,,,,,,,,,,,,,,,,,
4,2001-01-18T05:46:00,469000,101200,ESTUARINE WATER,0.048,7.9,0.62,0.615,0.005,0.036000000000000004,106.2,33.3,5.04,,,,,,,,,,,,,,,,,,
5,2001-01-18T05:48:00,468380,101980,ESTUARINE WATER,0.049,7.95,0.72,0.7140000000000001,0.006,0.038,104.5,33.3,5.1,,,,,,,,,,,,,,,,,,
6,2001-01-18T06:06:00,467500,104000,ESTUARINE WATER,0.047,7.9,0.6,0.595,0.005,0.036000000000000004,105.6,33.4,5.2,4.0,,,,,,,,,,,,,,,,,
7,2001-01-18T06:27:00,470300,102000,ESTUARINE WATER,0.045,7.95,0.61,0.605,0.005,0.037000000000000005,105.9,33.3,5.1,,,,,,,,,,,,,,,,,,
8,2001-01-18T06:35:00,471800,104300,ESTUARINE WATER,0.102,7.9,0.85,0.843,0.006999999999999999,0.044,104.3,32.0,4.4,,,,,,,,,,,,,,,,,,
9,2001-01-18T06:39:00,470300,104550,ESTUARINE WATER,0.059,7.9,0.69,0.684,0.006,0.038,106.5,33.1,4.8,,,,,,,,,,,,,,,,,,
10,2001-01-18T06:44:00,470600,103800,ESTUARINE WATER,0.051,7.9,0.64,0.635,0.005,0.035,108.3,33.3,5.0,,,,,,,,,,,,,,,,,,
11,2001-01-24T12:14:00,466500,93300,ESTUARINE WATER,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,
12,2001-01-30T08:27:00,474130,85280,SEA WATER,0.015,7.95,0.299,0.295,0.004,0.021,93.2,33.74,6.85,,,,,,,,,,,,,,,,,,
13,2001-01-30T09:01:00,483000,85500,SEA WATER,0.024,7.9,0.34600000000000003,0.341,0.005,0.023,92.4,33.38,6.27,,,,,,,,,,,,,,,,,,
14,2001-02-02T11:37:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.104,8.0,4.45,4.43,0.0185,0.053,105.4,,7.5,2.2,,,,,,,,,,,,,,,,,
15,2001-02-02T12:00:00,470680,105280,FINAL SEWAGE EFFLUENT,17.7,7.55,1.0,0.9,0.1,3.57,,,8.7,9.7,,,,,,,,,,,,,,,,,
16,2001-02-02T12:35:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.038,7.65,7.56,7.55,0.0105,0.037000000000000005,101.7,,9.2,1.7,,,,,,,,,,,,,,,,,
17,2001-02-07T10:45:00,470680,105280,FINAL SEWAGE EFFLUENT,10.1,7.6,1.7,1.23,0.47,1.74,,,10.5,5.4,,,,,,,,,,,,,,,,,
18,2001-02-13T13:35:00,466500,93300,ESTUARINE WATER,,7.95,,,,,,,,,,,,,,,,,,,,,,,,,
19,2001-02-15T07:00:00,464200,96000,SEA WATER,0.031,7.95,0.407,0.402,0.005,0.026,94.8,33.16,7.06,1.0,,,,,,,,,,,,,,,,,
20,2001-02-20T10:34:00,468670,99700,ESTUARINE WATER,0.048,7.95,0.473,0.467,0.006,0.029,104.9,32.51,6.62,,,,,,,,,,,,,,,,,,
21,2001-02-20T10:43:00,469000,101200,ESTUARINE WATER,0.042,7.95,0.477,0.471,0.006,0.03,104.3,32.5,6.6,,,,,,,,,,,,,,,,,,
22,2001-02-20T10:46:00,468380,101980,ESTUARINE WATER,0.033,7.95,0.454,0.448,0.006,0.028,104.5,33.56,6.71,,,,,,,,,,,,,,,,,,
23,2001-02-20T10:56:00,467500,104000,ESTUARINE WATER,0.07,7.95,0.52,0.514,0.006,0.033,104.9,32.2,6.6,1.9,,,,,,,,,,,,,,,,,
24,2001-02-20T11:10:00,470300,102000,ESTUARINE WATER,0.107,7.95,0.68,0.672,0.008,0.042,103.5,31.81,6.7,,,,,,,,,,,,,,,,,,
25,2001-02-20T11:18:00,471800,104300,ESTUARINE WATER,0.08900000000000001,7.95,0.63,0.623,0.006999999999999999,0.038,103.9,30.9,6.68,,,,,,,,,,,,,,,,,,
26,2001-02-20T11:22:00,470300,104550,ESTUARINE WATER,0.7829999999999999,7.9,1.3,1.29,0.01,0.177,103.8,30.5,6.6,,,,,,,,,,,,,,,,,,
27,2001-02-20T11:25:00,470600,103800,ESTUARINE WATER,0.745,7.9,1.09,1.08,0.01,0.175,104.5,30.67,6.71,,,,,,,,,,,,,,,,,,
28,2001-02-20T17:30:00,464200,96000,SEA WATER,0.027000000000000003,7.95,0.435,0.43,0.005,0.026,93.0,32.87,6.88,1.0,,,,,,,,,,,,,,,,,
29,2001-02-21T10:00:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.75,8.49,8.48,0.0062,0.023,102.3,,8.93,1.4,,,,,,,,,,,,,,,,,
30,2001-02-21T10:50:00,470680,105280,FINAL SEWAGE EFFLUENT,18.5,7.55,1.0,0.9,0.1,2.83,,,11.5,12.2,,,,,,,,,,,,,,,,,
31,2001-02-21T11:16:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.033,8.35,8.36,8.34,0.0208,0.039,114.5,,9.0,2.7,,,,,,,,,,,,,,,,,
32,2001-03-01T09:47:00,474130,85280,SEA WATER,0.008,8.0,0.274,0.27,0.004,0.023,96.7,33.88,6.44,,,,,,,,,,,,,,,,,,
33,2001-03-01T10:11:00,483000,85500,SEA WATER,0.017,8.0,0.314,0.309,0.005,0.024,94.8,33.57,6.06,,,,,,,,,,,,,,,,,,
34,2001-03-01T10:15:00,470680,105280,FINAL SEWAGE EFFLUENT,17.3,7.55,1.0,0.9,0.1,2.8,,,9.1,8.8,,,,,,,,,,,,,,,,,
35,2001-03-05T13:10:00,470680,105280,FINAL SEWAGE EFFLUENT,21.4,7.6,1.0,0.9,0.1,3.64,,,11.1,8.0,,,,,,,,,,,,,,,,,
36,2001-03-05T13:31:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.85,8.32,8.31,0.0076,0.029,107.2,,8.79,1.0,,,,,,,,,,,,,,,,,
37,2001-03-05T14:56:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.75,7.19,7.17,0.0193,0.037000000000000005,121.1,,8.9,2.7,,,,,,,,,,,,,,,,,
38,2001-03-12T12:35:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.036000000000000004,8.4,3.45,3.42,0.0284,0.051,119.0,,9.5,2.0,,,,,,,,,,,,,,,,,
39,2001-03-12T13:55:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.75,6.73,6.72,0.0081,0.029,109.2,,10.1,1.4,,,,,,,,,,,,,,,,,
40,2001-03-15T09:50:00,470680,105280,FINAL SEWAGE EFFLUENT,16.3,7.55,1.0,0.9,0.1,3.37,,,11.6,5.0,,,,,,,,,,,,,,,,,
41,2001-03-20T08:45:00,468670,99700,ESTUARINE WATER,0.038,8.0,0.335,0.329,0.006,0.023,96.4,33.09,6.04,,,,,,,,,,,,,,,,,,
42,2001-03-20T08:53:00,469000,101200,ESTUARINE WATER,0.037000000000000005,7.95,0.322,0.317,0.005,0.023,96.0,33.1,6.05,,,,,,,,,,,,,,,,,,
43,2001-03-20T09:00:00,468380,101980,ESTUARINE WATER,0.039,7.95,0.338,0.333,0.005,0.023,95.8,33.1,6.03,,,,,,,,,,,,,,,,,,
44,2001-03-20T09:40:00,470300,102000,ESTUARINE WATER,0.08800000000000001,7.95,0.4,0.393,0.006999999999999999,0.031,96.0,33.1,5.9,,,,,,,,,,,,,,,,,,
45,2001-03-20T09:52:00,471800,104300,ESTUARINE WATER,0.069,7.95,0.63,0.622,0.008,0.027000000000000003,97.8,31.58,5.6,,,,,,,,,,,,,,,,,,
46,2001-03-20T10:00:00,470300,104550,ESTUARINE WATER,0.852,7.75,1.33,1.31,0.019,0.17,95.4,30.6,5.4,,,,,,,,,,,,,,,,,,
