MONTHLY EXTREMES
Site,day (dd/mm/yyyy) time (24 hours),minimum observed value (metres),day (dd/mm/yyyy) time (24 hours),maximum observed value (metres),Datum,Channel
PORTSMOUTH,24/01/2023 18:45,.251,06/01/2023 23:15,4.939,ACD,Primary
PORTSMOUTH,21/02/2023 17:45,.285,20/02/2023 23:45,5.025,ACD,Primary
PORTSMOUTH,22/03/2023 17:15,.525,10/03/2023 00:45,5.327,ACD,Primary
PORTSMOUTH,20/04/2023 04:30,.506,23/04/2023 01:00,4.965,ACD,Primary
PORTSMOUTH,20/05/2023 04:45,.677,07/05/2023 00:00,4.765,ACD,Primary
PORTSMOUTH,06/06/2023 05:30,.748,06/06/2023 00:15,4.731,ACD,Primary
PORTSMOUTH,07/07/2023 07:15,.728,05/07/2023 12:45,4.899,ACD,Primary
PORTSMOUTH,04/08/2023 06:15,.435,02/08/2023 11:30,5.2,ACD,Primary
PORTSMOUTH,03/09/2023 06:30,.382,01/09/2023 12:15,5.162,ACD,Primary
PORTSMOUTH,01/10/2023 05:30,.412,28/10/2023 10:30,5.415,ACD,Primary
PORTSMOUTH,16/11/2023 18:00,.853,02/11/2023 01:15,5.256,ACD,Primary
PORTSMOUTH,15/12/2023 18:00,.795,25/12/2023 09:45,5.019,ACD,Primary
PORTSMOUTH,12/01/2024 17:15,.63,15/01/2024 02:00,5.109,ACD,Primary
PORTSMOUTH,12/02/2024 18:30,.609,11/02/2024 00:00,5.28,ACD,Primary
PORTSMOUTH,11/03/2024 17:30,.428,28/03/2024 13:00,5.217,ACD,Primary
PORTSMOUTH,11/04/2024 06:00,.449,08/04/2024 23:30,5.743,ACD,Primary
PORTSMOUTH,09/05/2024 04:45,.558,06/05/2024 22:15,4.895,ACD,Primary
PORTSMOUTH,07/06/2024 04:30,.851,05/06/2024 22:30,4.742,ACD,Primary
PORTSMOUTH,24/07/2024 06:15,.69,05/07/2024 23:00,4.833,ACD,Primary
PORTSMOUTH,21/08/2024 05:30,.603,23/08/2024 01:30,5.162,ACD,Primary
PORTSMOUTH,30/01/2014 16:15,.618,03/01/2014 12:30,5.474,ACD,Secondary
PORTSMOUTH,02/02/2014 18:30,.338,14/02/2014 23:00,5.516,ACD,Secondary
PORTSMOUTH,01/03/2014 16:45,.404,03/03/2014 00:15,5.276,ACD,Secondary
PORTSMOUTH,01/04/2014 05:15,.469,02/04/2014 00:45,5.008,ACD,Secondary
PORTSMOUTH,17/05/2014 06:00,.404,01/05/2014 00:15,4.864,ACD,Secondary
PORTSMOUTH,15/06/2014 05:45,.417,15/06/2014 00:15,4.76,ACD,Secondary
PORTSMOUTH,15/07/2014 06:15,.375,14/07/2014 00:00,4.97,ACD,Secondary
PORTSMOUTH,13/08/2014 06:00,.374,10/08/2014 10:45,5.203,ACD,Secondary
PORTSMOUTH,11/09/2014 05:45,.234,09/09/2014 11:15,5.001,ACD,Secondary
PORTSMOUTH,10/10/2014 05:15,.624,09/10/2014 11:30,5.348,ACD,Secondary
PORTSMOUTH,24/11/2014 17:30,.703,08/11/2014 12:00,5.305,ACD,Secondary
PORTSMOUTH,25/12/2014 19:00,.553,10/12/2014 13:30,5.058,ACD,Secondary
PORTSMOUTH,22/01/2015 18:00,.274,20/01/2015 23:30,4.994,ACD,Secondary
PORTSMOUTH,20/02/2015 17:45,.253,23/02/2015 14:15,5.159,ACD,Secondary
PORTSMOUTH,22/03/2015 05:45,.047,24/03/2015 01:45,5.024,ACD,Secondary
PORTSMOUTH,18/04/2015 16:15,.183,20/04/2015 00:00,4.875,ACD,Secondary
PORTSMOUTH,20/05/2015 05:45,.578,05/05/2015 12:15,5.007,ACD,Secondary
PORTSMOUTH,17/06/2015 04:45,.624,01/06/2015 22:30,4.731,ACD,Secondary
PORTSMOUTH,05/07/2015 06:30,.575,04/07/2015 00:30,4.789,ACD,Secondary
PORTSMOUTH,31/08/2015 05:15,.392,31/08/2015 12:15,5.052,ACD,Secondary
PORTSMOUTH,29/09/2015 05:00,.047,01/09/2015 13:00,5.041,ACD,Secondary
PORTSMOUTH,01/10/2015 06:15,.288,29/10/2015 12:15,5.259,ACD,Secondary
PORTSMOUTH,26/11/2015 16:45,.443,28/11/2015 12:45,5.076,ACD,Secondary
PORTSMOUTH,27/12/2015 17:45,.825,25/12/2015 11:00,5.138,ACD,Secondary
PORTSMOUTH,24/01/2016 17:00,.691,09/01/2016 22:45,5.104,ACD,Secondary
PORTSMOUTH,24/02/2016 17:45,.576,09/02/2016 11:45,5.204,ACD,Secondary
PORTSMOUTH,10/03/2016 17:45,-.013,28/03/2016 01:30,5.214,ACD,Secondary
PORTSMOUTH,08/04/2016 17:15,.257,10/04/2016 01:00,5.071,ACD,Secondary
PORTSMOUTH,08/05/2016 05:15,.455,08/05/2016 00:00,5.097,ACD,Secondary
PORTSMOUTH,06/06/2016 05:00,.481,04/06/2016 22:45,4.898,ACD,Secondary
PORTSMOUTH,06/07/2016 05:30,.592,05/07/2016 12:00,4.703,ACD,Secondary
PORTSMOUTH,22/08/2016 07:00,.563,20/08/2016 12:15,4.988,ACD,Secondary
PORTSMOUTH,18/09/2016 05:15,.346,19/09/2016 12:45,4.975,ACD,Secondary
PORTSMOUTH,19/10/2016 06:15,.505,19/10/2016 13:15,5.052,ACD,Secondary
PORTSMOUTH,01/11/2016 05:00,.94,01/11/2016 12:15,4.708,ACD,Secondary
PORTSMOUTH,28/05/2017 06:15,.473,29/05/2017 01:30,4.985,ACD,Secondary
PORTSMOUTH,26/06/2017 05:45,.612,25/06/2017 12:00,5.034,ACD,Secondary
PORTSMOUTH,25/07/2017 05:45,.482,26/07/2017 13:30,4.917,ACD,Secondary
PORTSMOUTH,22/08/2017 04:45,.591,24/08/2017 13:00,4.863,ACD,Secondary
PORTSMOUTH,22/09/2017 05:30,.637,09/09/2017 00:45,5.032,ACD,Secondary
PORTSMOUTH,07/10/2017 05:15,.449,08/10/2017 00:30,5.097,ACD,Secondary
PORTSMOUTH,06/11/2017 18:00,.472,05/11/2017 11:45,5.062,ACD,Secondary
PORTSMOUTH,05/12/2017 17:45,.375,08/12/2017 02:30,5.04,ACD,Secondary
PORTSMOUTH,30/01/2018 15:30,.649,04/01/2018 12:45,5.461,ACD,Secondary
PORTSMOUTH,02/02/2018 18:00,.329,01/02/2018 00:00,5.069,ACD,Secondary
PORTSMOUTH,02/03/2018 17:00,.323,04/03/2018 00:45,5.211,ACD,Secondary
PORTSMOUTH,01/04/2018 17:15,.575,02/04/2018 00:15,5.041,ACD,Secondary
PORTSMOUTH,17/05/2018 05:30,.474,17/05/2018 00:15,4.862,ACD,Secondary
PORTSMOUTH,16/06/2018 06:15,.571,15/06/2018 12:15,4.984,ACD,Secondary
PORTSMOUTH,15/07/2018 06:00,.407,15/07/2018 13:00,4.855,ACD,Secondary
PORTSMOUTH,14/08/2018 06:30,.477,13/08/2018 12:45,5.045,ACD,Secondary
PORTSMOUTH,11/09/2018 05:30,.455,12/09/2018 00:45,4.98,ACD,Secondary
PORTSMOUTH,10/10/2018 05:00,.52,11/10/2018 12:45,5.12,ACD,Secondary
PORTSMOUTH,25/11/2018 17:45,.791,07/11/2018 11:00,5.354,ACD,Secondary
PORTSMOUTH,25/12/2018 18:30,.503,23/12/2018 11:30,5.051,ACD,Secondary
PORTSMOUTH,23/01/2019 18:15,.448,23/01/2019 00:30,5.108,ACD,Secondary
PORTSMOUTH,22/02/2019 18:45,.222,21/02/2019 12:45,5.045,ACD,Secondary
PORTSMOUTH,22/03/2019 17:45,.085,10/03/2019 01:45,4.959,ACD,Secondary
PORTSMOUTH,20/04/2019 17:15,.35,22/04/2019 01:00,4.84,ACD,Secondary
PORTSMOUTH,06/05/2019 05:15,.689,18/05/2019 23:15,4.921,ACD,Secondary
PORTSMOUTH,18/06/2019 04:45,.862,05/06/2019 00:00,4.879,ACD,Secondary
PORTSMOUTH,04/07/2019 05:30,.582,06/07/2019 14:00,4.851,ACD,Secondary
PORTSMOUTH,31/08/2019 05:00,.492,31/08/2019 12:00,5.066,ACD,Secondary
PORTSMOUTH,02/09/2019 06:30,.343,29/09/2019 11:30,5.346,ACD,Secondary
PORTSMOUTH,29/10/2019 05:00,.374,01/10/2019 13:00,5.35,ACD,Secondary
PORTSMOUTH,29/11/2019 18:15,.933,27/11/2019 11:30,5.404,ACD,Secondary
PORTSMOUTH,28/12/2019 18:00,.815,11/12/2019 10:30,5.278,ACD,Secondary
PORTSMOUTH,12/01/2020 17:45,.815,15/01/2020 02:00,5.281,ACD,Secondary
PORTSMOUTH,12/02/2020 19:00,.612,10/02/2020 12:00,5.363,ACD,Secondary
PORTSMOUTH,11/03/2020 18:00,.426,12/03/2020 13:15,5.34,ACD,Secondary
PORTSMOUTH,09/04/2020 17:30,.277,09/04/2020 00:00,5.106,ACD,Secondary
PORTSMOUTH,06/06/2020 04:30,.803,05/06/2020 23:00,5.161,ACD,Secondary
PORTSMOUTH,23/07/2020 06:00,.718,24/07/2020 14:00,4.854,ACD,Secondary
PORTSMOUTH,22/08/2020 06:30,.648,21/08/2020 12:45,5.3,ACD,Secondary
PORTSMOUTH,18/09/2020 05:00,.298,20/09/2020 13:15,5.075,ACD,Secondary
PORTSMOUTH,18/10/2020 05:15,.384,31/10/2020 11:15,5.128,ACD,Secondary
PORTSMOUTH,17/11/2020 17:45,.649,14/11/2020 10:15,5.351,ACD,Secondary
PORTSMOUTH,15/12/2020 16:45,.888,15/12/2020 11:30,5.187,ACD,Secondary
PORTSMOUTH,15/01/2021 18:15,.571,30/01/2021 12:15,5.058,ACD,Secondary
PORTSMOUTH,28/02/2021 17:45,.341,01/02/2021 01:30,5.032,ACD,Secondary
PORTSMOUTH,29/03/2021 17:15,.206,12/03/2021 23:15,5.104,ACD,Secondary
PORTSMOUTH,26/04/2021 16:00,.497,27/04/2021 23:45,5.168,ACD,Secondary
PORTSMOUTH,28/05/2021 05:30,.436,26/05/2021 23:15,4.996,ACD,Secondary
PORTSMOUTH,27/06/2021 06:15,.68,25/06/2021 23:45,4.942,ACD,Secondary
PORTSMOUTH,27/07/2021 06:30,.854,26/07/2021 13:00,4.884,ACD,Secondary
PORTSMOUTH,25/08/2021 06:15,.539,09/08/2021 12:00,4.743,ACD,Secondary
PORTSMOUTH,09/09/2021 05:45,.684,09/09/2021 12:45,5.018,ACD,Secondary
PORTSMOUTH,22/10/2021 05:00,.923,20/10/2021 23:30,5.182,ACD,Secondary
PORTSMOUTH,06/11/2021 05:00,.548,05/11/2021 11:15,5.049,ACD,Secondary
PORTSMOUTH,19/02/2022 18:15,.941,18/02/2022 12:00,5.233,ACD,Secondary
PORTSMOUTH,04/03/2022 18:00,.461,04/03/2022 00:15,4.863,ACD,Secondary
PORTSMOUTH,05/04/2022 06:45,.998,05/04/2022 01:30,4.814,ACD,Secondary
