MONTHLY MEANS
Site,month (mm/yyyy),monthly mean value (metres),No. of days used to calculate mean.,Datum,Channel
PORTSMOUTH,01/2000,2.783,31,ACD,Primary
PORTSMOUTH,02/2000,2.85,29,ACD,Primary
PORTSMOUTH,03/2000,2.757,31,ACD,Primary
PORTSMOUTH,04/2000,2.905,30,ACD,Primary
PORTSMOUTH,05/2000,2.834,31,ACD,Primary
PORTSMOUTH,06/2000,2.796,25,ACD,Primary
PORTSMOUTH,07/2000,2.865,31,ACD,Primary
PORTSMOUTH,08/2000,2.812,18,ACD,Primary
PORTSMOUTH,09/2000,2.93,28,ACD,Primary
PORTSMOUTH,10/2000,2.961,31,ACD,Primary
PORTSMOUTH,11/2000,3.065,30,ACD,Primary
PORTSMOUTH,12/2000,3.11,31,ACD,Primary
PORTSMOUTH,01/2001,3,31,ACD,Primary
PORTSMOUTH,02/2001,2.844,28,ACD,Primary
PORTSMOUTH,03/2001,3.019,28,ACD,Primary
PORTSMOUTH,04/2001,2.875,30,ACD,Primary
PORTSMOUTH,05/2001,2.811,31,ACD,Primary
PORTSMOUTH,06/2001,2.84,30,ACD,Primary
PORTSMOUTH,07/2001,2.901,31,ACD,Primary
PORTSMOUTH,08/2001,2.925,29,ACD,Primary
PORTSMOUTH,09/2001,2.955,30,ACD,Primary
PORTSMOUTH,10/2001,3.062,31,ACD,Primary
PORTSMOUTH,11/2001,2.884,30,ACD,Primary
PORTSMOUTH,12/2001,2.856,31,ACD,Primary
PORTSMOUTH,01/2002,2.971,31,ACD,Primary
PORTSMOUTH,02/2002,2.993,28,ACD,Primary
PORTSMOUTH,03/2002,2.853,31,ACD,Primary
PORTSMOUTH,04/2002,2.845,30,ACD,Primary
PORTSMOUTH,05/2002,2.908,31,ACD,Primary
PORTSMOUTH,06/2002,2.864,30,ACD,Primary
PORTSMOUTH,07/2002,2.868,29,ACD,Primary
PORTSMOUTH,08/2002,2.893,31,ACD,Primary
PORTSMOUTH,09/2002,2.917,30,ACD,Primary
PORTSMOUTH,10/2002,3.005,27,ACD,Primary
PORTSMOUTH,11/2002,3.095,28,ACD,Primary
PORTSMOUTH,12/2002,2.973,31,ACD,Primary
PORTSMOUTH,01/2003,2.943,31,ACD,Primary
PORTSMOUTH,02/2003,2.83,28,ACD,Primary
PORTSMOUTH,03/2003,2.855,31,ACD,Primary
PORTSMOUTH,04/2003,2.886,30,ACD,Primary
PORTSMOUTH,05/2003,2.885,31,ACD,Primary
PORTSMOUTH,06/2003,2.923,30,ACD,Primary
PORTSMOUTH,07/2003,2.92,21,ACD,Primary
PORTSMOUTH,08/2003,2.878,31,ACD,Primary
PORTSMOUTH,09/2003,2.853,30,ACD,Primary
PORTSMOUTH,10/2003,2.903,31,ACD,Primary
PORTSMOUTH,11/2003,2.922,30,ACD,Primary
PORTSMOUTH,12/2003,2.887,29,ACD,Primary
PORTSMOUTH,01/2004,2.914,30,ACD,Primary
PORTSMOUTH,02/2004,2.792,29,ACD,Primary
PORTSMOUTH,03/2004,2.767,31,ACD,Primary
PORTSMOUTH,04/2004,2.805,12,ACD,Primary
PORTSMOUTH,05/2004,2.755,22,ACD,Primary
PORTSMOUTH,06/2004,2.806,30,ACD,Primary
PORTSMOUTH,07/2004,2.82,31,ACD,Primary
PORTSMOUTH,08/2004,2.934,31,ACD,Primary
PORTSMOUTH,09/2004,2.87,30,ACD,Primary
PORTSMOUTH,10/2004,3.006,31,ACD,Primary
PORTSMOUTH,11/2004,2.816,30,ACD,Primary
PORTSMOUTH,12/2004,2.832,31,ACD,Primary
PORTSMOUTH,01/2005,2.788,31,ACD,Primary
PORTSMOUTH,02/2005,2.688,28,ACD,Primary
PORTSMOUTH,03/2005,2.793,27,ACD,Primary
PORTSMOUTH,04/2005,2.817,30,ACD,Primary
