Data supplied by UK-AIR on 8/11/2015
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2014,01:00,,,,,,,,,,,,,,,,68.500,R,ugm-3 (TEOM FDMS),72.57696,R,ugm-3,70.800,R,ugm-3 (TEOM FDMS),,,,2.300,R,ugm-3 (TEOM FDMS)
01-01-2014,02:00,,,,,,,,,,,,,,,,5.300,R,ugm-3 (TEOM FDMS),73.30871,R,ugm-3,7.500,R,ugm-3 (TEOM FDMS),,,,2.200,R,ugm-3 (TEOM FDMS)
01-01-2014,03:00,,,,,,,,,,,,,,,,4.700,R,ugm-3 (TEOM FDMS),73.39187,R,ugm-3,9.700,R,ugm-3 (TEOM FDMS),,,,5.000,R,ugm-3 (TEOM FDMS)
01-01-2014,04:00,,,,,,,,,,,,,,,,4.800,R,ugm-3 (TEOM FDMS),72.04477,R,ugm-3,7.400,R,ugm-3 (TEOM FDMS),,,,2.600,R,ugm-3 (TEOM FDMS)
01-01-2014,05:00,,,,,,,,,,,,,,,,3.300,R,ugm-3 (TEOM FDMS),71.64563,R,ugm-3,6.900,R,ugm-3 (TEOM FDMS),,,,3.600,R,ugm-3 (TEOM FDMS)
01-01-2014,06:00,,,,,,,,,,,,,,,,5.700,R,ugm-3 (TEOM FDMS),73.14241,R,ugm-3,10.500,R,ugm-3 (TEOM FDMS),,,,4.800,R,ugm-3 (TEOM FDMS)
01-01-2014,07:00,,,,,,,,,,,,,,,,5.900,R,ugm-3 (TEOM FDMS),72.39402,R,ugm-3,10.400,R,ugm-3 (TEOM FDMS),,,,4.500,R,ugm-3 (TEOM FDMS)
01-01-2014,08:00,,,,,,,,,,,,,,,,5.100,R,ugm-3 (TEOM FDMS),74.63918,R,ugm-3,10.100,R,ugm-3 (TEOM FDMS),,,,5.000,R,ugm-3 (TEOM FDMS)
01-01-2014,09:00,,,,,,,,,,,,,,,,4.700,R,ugm-3 (TEOM FDMS),77.23359,R,ugm-3,7.000,R,ugm-3 (TEOM FDMS),,,,2.300,R,ugm-3 (TEOM FDMS)
01-01-2014,10:00,,,,,,,,,,,,,,,,1.800,R,ugm-3 (TEOM FDMS),81.97338,R,ugm-3,7.500,R,ugm-3 (TEOM FDMS),,,,5.700,R,ugm-3 (TEOM FDMS)
01-01-2014,11:00,,,,,,,,,,,,,,,,2.100,R,ugm-3 (TEOM FDMS),83.27058,R,ugm-3,10.500,R,ugm-3 (TEOM FDMS),,,,8.400,R,ugm-3 (TEOM FDMS)
01-01-2014,12:00,,,,,,,,,,,,,,,,3.900,R,ugm-3 (TEOM FDMS),78.33123,R,ugm-3,10.700,R,ugm-3 (TEOM FDMS),,,,6.800,R,ugm-3 (TEOM FDMS)
01-01-2014,13:00,,,,,,,,,,,,,,,,4.600,R,ugm-3 (TEOM FDMS),76.38542,R,ugm-3,7.000,R,ugm-3 (TEOM FDMS),,,,2.400,R,ugm-3 (TEOM FDMS)
01-01-2014,14:00,,,,,,,,,,,,,,,,4.300,R,ugm-3 (TEOM FDMS),73.54155,R,ugm-3,8.200,R,ugm-3 (TEOM FDMS),,,,3.900,R,ugm-3 (TEOM FDMS)
01-01-2014,15:00,,,,,,,,,,,,,,,,1.700,R,ugm-3 (TEOM FDMS),71.94499,R,ugm-3,4.900,R,ugm-3 (TEOM FDMS),,,,3.200,R,ugm-3 (TEOM FDMS)
01-01-2014,16:00,,,,,,,,,,,,,,,,1.400,R,ugm-3 (TEOM FDMS),72.79316,R,ugm-3,4.900,R,ugm-3 (TEOM FDMS),,,,3.500,R,ugm-3 (TEOM FDMS)
01-01-2014,17:00,,,,,,,,,,,,,,,,4.200,R,ugm-3 (TEOM FDMS),70.59789,R,ugm-3,10.000,R,ugm-3 (TEOM FDMS),,,,5.800,R,ugm-3 (TEOM FDMS)
01-01-2014,18:00,,,,,,,,,,,,,,,,3.900,R,ugm-3 (TEOM FDMS),68.75187,R,ugm-3,9.200,R,ugm-3 (TEOM FDMS),,,,5.300,R,ugm-3 (TEOM FDMS)
01-01-2014,19:00,,,,,,,,,,,,,,,,4.800,R,ugm-3 (TEOM FDMS),71.84520,R,ugm-3,7.600,R,ugm-3 (TEOM FDMS),,,,2.800,R,ugm-3 (TEOM FDMS)
01-01-2014,20:00,,,,,,,,,,,,,,,,4.000,R,ugm-3 (TEOM FDMS),75.78671,R,ugm-3,8.600,R,ugm-3 (TEOM FDMS),,,,4.600,R,ugm-3 (TEOM FDMS)
01-01-2014,21:00,,,,,,,,,,,,,,,,3.000,R,ugm-3 (TEOM FDMS),77.88219,R,ugm-3,6.900,R,ugm-3 (TEOM FDMS),,,,3.900,R,ugm-3 (TEOM FDMS)
01-01-2014,22:00,,,,,,,,,,,,,,,,8.200,R,ugm-3 (TEOM FDMS),75.63703,R,ugm-3,13.500,R,ugm-3 (TEOM FDMS),,,,5.300,R,ugm-3 (TEOM FDMS)
01-01-2014,23:00,,,,,,,,,,,,,,,,6.200,R,ugm-3 (TEOM FDMS),76.93424,R,ugm-3,10.500,R,ugm-3 (TEOM FDMS),,,,4.300,R,ugm-3 (TEOM FDMS)
01-01-2014,24:00,,,,,,,,,,,,,,,,8.500,R,ugm-3 (TEOM FDMS),73.19230,R,ugm-3,12.600,R,ugm-3 (TEOM FDMS),,,,4.100,R,ugm-3 (TEOM FDMS)
02-01-2014,01:00,,,,,,,,,,,,,,,,6.700,R,ugm-3 (TEOM FDMS),80.75933,R,ugm-3,10.000,R,ugm-3 (TEOM FDMS),,,,3.300,R,ugm-3 (TEOM FDMS)
02-01-2014,02:00,,,,,,,,,,,,,,,,8.200,R,ugm-3 (TEOM FDMS),81.89022,R,ugm-3,12.000,R,ugm-3 (TEOM FDMS),,,,3.800,R,ugm-3 (TEOM FDMS)
02-01-2014,03:00,,,,,,,,,,,,,,,,5.300,R,ugm-3 (TEOM FDMS),83.96908,R,ugm-3,6.600,R,ugm-3 (TEOM FDMS),,,,1.300,R,ugm-3 (TEOM FDMS)
02-01-2014,04:00,,,,,,,,,,,,,,,,4.900,R,ugm-3 (TEOM FDMS),75.08821,R,ugm-3,5.700,R,ugm-3 (TEOM FDMS),,,,0.800,R,ugm-3 (TEOM FDMS)
02-01-2014,05:00,,,,,,,,,,,,,,,,4.700,R,ugm-3 (TEOM FDMS),69.35058,R,ugm-3,4.700,R,ugm-3 (TEOM FDMS),,,,0.000,R,ugm-3 (TEOM FDMS)
02-01-2014,06:00,,,,,,,,,,,,,,,,3.700,R,ugm-3 (TEOM FDMS),65.85810,R,ugm-3,5.200,R,ugm-3 (TEOM FDMS),,,,1.500,R,ugm-3 (TEOM FDMS)
02-01-2014,07:00,,,,,,,,,,,,,,,,5.800,R,ugm-3 (TEOM FDMS),63.21380,R,ugm-3,5.500,R,ugm-3 (TEOM FDMS),,,,-0.300,R,ugm-3 (TEOM FDMS)
02-01-2014,08:00,,,,,,,,,,,,,,,,5.400,R,ugm-3 (TEOM FDMS),61.41767,R,ugm-3,8.000,R,ugm-3 (TEOM FDMS),,,,2.600,R,ugm-3 (TEOM FDMS)
