,sample.sampleDateTime,sample.samplingPoint.easting,sample.samplingPoint.northing,sample.sampledMaterialType.label,Ammoniacal Nitrogen as N,"Ammoniacal Nitrogen, Filtered as N",BOD : 5 Day ATU,Chlorophyll : Acetone Extract,NGR : Easting,NGR : Northing,Nitrate as N,"Nitrate, Filtered as N",Nitrite as N,"Nitrite, Filtered as N","Nitrogen, Dissolved Inorganic : as N","Nitrogen, Total Oxidised as N","Nitrogen, Total Oxidised, Filtered as N","Orthophosphate, Filtered as P","Orthophosphate, reactive as P","Oxygen, Dissolved as O2","Oxygen, Dissolved, % Saturation",Salinity : In Situ,Sample Depth below surface,"Silicate, Filtered as SiO2",Temperature of Water,Time of high tide,Time of sampling relative to previous high water,Turbidity : In Situ,Volume of Sample Filtered,Water Depth,pH
0,2001-01-17T12:50:00,470680,105280,FINAL SEWAGE EFFLUENT,21.9,,3.7,,,,2.7,,0.1,,,2.8,,,2.84,,,,,,,,,,,,7.55
1,2001-01-17T13:08:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.043,,1.6,,,,8.73,,0.0125,,,8.74,,,0.057,,111.6,,,,6.7,,,,,,8.45
2,2001-01-17T14:28:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,,1.4,,,,8.74,,0.0077,,,8.75,,,0.04,,106.1,,,,8.1,,,,,,7.9
3,2001-01-18T05:34:00,468670,99700,ESTUARINE WATER,0.049,,,,,,0.5539999999999999,,0.006,,,0.56,,,0.037000000000000005,,107.0,33.3,,,5.0,,,,,,7.95
4,2001-01-18T05:46:00,469000,101200,ESTUARINE WATER,0.048,,,,,,0.615,,0.005,,,0.62,,,0.036000000000000004,,106.2,33.3,,,5.04,,,,,,7.9
5,2001-01-18T05:48:00,468380,101980,ESTUARINE WATER,0.049,,,,,,0.7140000000000001,,0.006,,,0.72,,,0.038,,104.5,33.3,,,5.1,,,,,,7.95
6,2001-01-18T06:06:00,467500,104000,ESTUARINE WATER,0.047,,4.0,,,,0.595,,0.005,,,0.6,,,0.036000000000000004,,105.6,33.4,,,5.2,,,,,,7.9
7,2001-01-18T06:27:00,470300,102000,ESTUARINE WATER,0.045,,,,,,0.605,,0.005,,,0.61,,,0.037000000000000005,,105.9,33.3,,,5.1,,,,,,7.95
8,2001-01-18T06:35:00,471800,104300,ESTUARINE WATER,0.102,,,,,,0.843,,0.006999999999999999,,,0.85,,,0.044,,104.3,32.0,,,4.4,,,,,,7.9
9,2001-01-18T06:39:00,470300,104550,ESTUARINE WATER,0.059,,,,,,0.684,,0.006,,,0.69,,,0.038,,106.5,33.1,,,4.8,,,,,,7.9
10,2001-01-18T06:44:00,470600,103800,ESTUARINE WATER,0.051,,,,,,0.635,,0.005,,,0.64,,,0.035,,108.3,33.3,,,5.0,,,,,,7.9
11,2001-01-24T12:14:00,466500,93300,ESTUARINE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
12,2001-01-30T08:27:00,474130,85280,SEA WATER,0.015,,,,,,0.295,,0.004,,,0.299,,,0.021,,93.2,33.74,,,6.85,,,,,,7.95
13,2001-01-30T09:01:00,483000,85500,SEA WATER,0.024,,,,,,0.341,,0.005,,,0.34600000000000003,,,0.023,,92.4,33.38,,,6.27,,,,,,7.9
14,2001-02-02T11:37:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.104,,2.2,,,,4.43,,0.0185,,,4.45,,,0.053,,105.4,,,,7.5,,,,,,8.0
15,2001-02-02T12:00:00,470680,105280,FINAL SEWAGE EFFLUENT,17.7,,9.7,,,,0.9,,0.1,,,1.0,,,3.57,,,,,,8.7,,,,,,7.55
16,2001-02-02T12:35:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.038,,1.7,,,,7.55,,0.0105,,,7.56,,,0.037000000000000005,,101.7,,,,9.2,,,,,,7.65
17,2001-02-07T10:45:00,470680,105280,FINAL SEWAGE EFFLUENT,10.1,,5.4,,,,1.23,,0.47,,,1.7,,,1.74,,,,,,10.5,,,,,,7.6
18,2001-02-13T13:35:00,466500,93300,ESTUARINE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95
19,2001-02-15T07:00:00,464200,96000,SEA WATER,0.031,,1.0,,,,0.402,,0.005,,,0.407,,,0.026,,94.8,33.16,,,7.06,,,,,,7.95
20,2001-02-20T10:34:00,468670,99700,ESTUARINE WATER,0.048,,,,,,0.467,,0.006,,,0.473,,,0.029,,104.9,32.51,,,6.62,,,,,,7.95
21,2001-02-20T10:43:00,469000,101200,ESTUARINE WATER,0.042,,,,,,0.471,,0.006,,,0.477,,,0.03,,104.3,32.5,,,6.6,,,,,,7.95
22,2001-02-20T10:46:00,468380,101980,ESTUARINE WATER,0.033,,,,,,0.448,,0.006,,,0.454,,,0.028,,104.5,33.56,,,6.71,,,,,,7.95
