Data supplied by UK-AIR on 28/6/2018
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2017,01:00,30.600,R,ugm-3 (TEOM FDMS),1.35419,R,ugm-3,26.21406,R,ugm-3,28.29047,R,ugm-3,19.300,R,ugm-3 (TEOM FDMS),42.600,R,ugm-3 (TEOM FDMS),29.20374,R,ugm-3,50.300,R,ugm-3 (TEOM FDMS),11.300,R,ugm-3 (TEOM FDMS),7.700,R,ugm-3 (TEOM FDMS)
01-01-2017,02:00,54.200,R,ugm-3 (TEOM FDMS),1.07720,R,ugm-3,30.54258,R,ugm-3,32.19426,R,ugm-3,45.200,R,ugm-3 (TEOM FDMS),19.100,R,ugm-3 (TEOM FDMS),22.55141,R,ugm-3,26.100,R,ugm-3 (TEOM FDMS),9.000,R,ugm-3 (TEOM FDMS),7.000,R,ugm-3 (TEOM FDMS)
01-01-2017,03:00,28.900,R,ugm-3 (TEOM FDMS),4.24724,R,ugm-3,31.75448,R,ugm-3,38.26683,R,ugm-3,20.500,R,ugm-3 (TEOM FDMS),17.300,R,ugm-3 (TEOM FDMS),15.66625,R,ugm-3,25.900,R,ugm-3 (TEOM FDMS),8.400,R,ugm-3 (TEOM FDMS),8.600,R,ugm-3 (TEOM FDMS)
01-01-2017,04:00,27.200,R,ugm-3 (TEOM FDMS),4.80123,R,ugm-3,26.90486,R,ugm-3,34.26665,R,ugm-3,19.600,R,ugm-3 (TEOM FDMS),16.900,R,ugm-3 (TEOM FDMS),18.36044,R,ugm-3,24.200,R,ugm-3 (TEOM FDMS),7.600,R,ugm-3 (TEOM FDMS),7.300,R,ugm-3 (TEOM FDMS)
01-01-2017,05:00,29.400,R,ugm-3 (TEOM FDMS),1.01565,R,ugm-3,19.84128,R,ugm-3,21.39858,R,ugm-3,22.000,R,ugm-3 (TEOM FDMS),15.100,R,ugm-3 (TEOM FDMS),29.38668,R,ugm-3,22.900,R,ugm-3 (TEOM FDMS),7.400,R,ugm-3 (TEOM FDMS),7.800,R,ugm-3 (TEOM FDMS)
01-01-2017,06:00,25.700,R,ugm-3 (TEOM FDMS),0.30777,R,ugm-3,9.64904,R,ugm-3,10.12095,R,ugm-3,18.100,R,ugm-3 (TEOM FDMS),9.600,R,ugm-3 (TEOM FDMS),39.86411,R,ugm-3,18.100,R,ugm-3 (TEOM FDMS),7.600,R,ugm-3 (TEOM FDMS),8.500,R,ugm-3 (TEOM FDMS)
01-01-2017,07:00,24.400,R,ugm-3 (TEOM FDMS),0.43088,R,ugm-3,12.01461,R,ugm-3,12.67529,R,ugm-3,16.600,R,ugm-3 (TEOM FDMS),7.000,R,ugm-3 (TEOM FDMS),38.06798,R,ugm-3,13.500,R,ugm-3 (TEOM FDMS),7.800,R,ugm-3 (TEOM FDMS),6.500,R,ugm-3 (TEOM FDMS)
01-01-2017,08:00,19.000,R,ugm-3 (TEOM FDMS),0.86176,R,ugm-3,20.60738,R,ugm-3,21.92873,R,ugm-3,11.400,R,ugm-3 (TEOM FDMS),5.700,R,ugm-3 (TEOM FDMS),36.47142,R,ugm-3,10.900,R,ugm-3 (TEOM FDMS),7.600,R,ugm-3 (TEOM FDMS),5.200,R,ugm-3 (TEOM FDMS)
01-01-2017,09:00,17.500,R,ugm-3 (TEOM FDMS),1.47730,R,ugm-3,32.57982,R,ugm-3,34.84499,R,ugm-3,9.000,R,ugm-3 (TEOM FDMS),1.900,R,ugm-3 (TEOM FDMS),27.98969,R,ugm-3,6.700,R,ugm-3 (TEOM FDMS),8.500,R,ugm-3 (TEOM FDMS),4.800,R,ugm-3 (TEOM FDMS)
