Data supplied by UK-AIR on 3/6/2020
All Data GMT hour ending  NB:  Upto 24/06/2019 PM10 were measured with a TEOM FDMS, from 24/06/2019 PM10 were measured with a FIDAS
Status: R =Ratified P=Provisional,P*=As supplied
,,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2019,01:00,10.400,R,ugm-3 (TEOM FDMS),0.80159,R,ugm-3,12.90636,R,ugm-3,14.13544,R,ugm-3,6.300,R,ugm-3 (TEOM FDMS),15.800,R,ugm-3 (TEOM FDMS),46.56633,R,ugm-3,14.225,R,ugm-3 (TEOM FDMS),4.100,R,ugm-3 (TEOM FDMS),4.700,R,ugm-3 (TEOM FDMS)
01-01-2019,02:00,19.700,R,ugm-3 (TEOM FDMS),0.80159,R,ugm-3,6.80779,R,ugm-3,8.03687,R,ugm-3,15.400,R,ugm-3 (TEOM FDMS),10.800,R,ugm-3 (TEOM FDMS),55.28089,R,ugm-3,9.625,R,ugm-3 (TEOM FDMS),4.300,R,ugm-3 (TEOM FDMS),5.100,R,ugm-3 (TEOM FDMS)
01-01-2019,03:00,13.200,R,ugm-3 (TEOM FDMS),0.52412,R,ugm-3,4.91673,R,ugm-3,5.72036,R,ugm-3,9.900,R,ugm-3 (TEOM FDMS),9.500,R,ugm-3 (TEOM FDMS),56.67788,R,ugm-3,7.725,R,ugm-3 (TEOM FDMS),3.300,R,ugm-3 (TEOM FDMS),4.500,R,ugm-3 (TEOM FDMS)
01-01-2019,04:00,10.700,R,ugm-3 (TEOM FDMS),0.30830,R,ugm-3,3.68754,R,ugm-3,4.16027,R,ugm-3,8.700,R,ugm-3 (TEOM FDMS),8.300,R,ugm-3 (TEOM FDMS),55.68003,R,ugm-3,6.325,R,ugm-3 (TEOM FDMS),2.000,R,ugm-3 (TEOM FDMS),4.300,R,ugm-3 (TEOM FDMS)
01-01-2019,05:00,12.700,R,ugm-3 (TEOM FDMS),0.36996,R,ugm-3,3.40389,R,ugm-3,3.97116,R,ugm-3,8.800,R,ugm-3 (TEOM FDMS),8.100,R,ugm-3 (TEOM FDMS),54.13336,R,ugm-3,6.025,R,ugm-3 (TEOM FDMS),3.900,R,ugm-3 (TEOM FDMS),4.200,R,ugm-3 (TEOM FDMS)
01-01-2019,06:00,14.000,R,ugm-3 (TEOM FDMS),0.40079,R,ugm-3,3.92393,R,ugm-3,4.53847,R,ugm-3,10.200,R,ugm-3 (TEOM FDMS),7.300,R,ugm-3 (TEOM FDMS),54.78197,R,ugm-3,5.525,R,ugm-3 (TEOM FDMS),3.800,R,ugm-3 (TEOM FDMS),4.500,R,ugm-3 (TEOM FDMS)
01-01-2019,07:00,11.600,R,ugm-3 (TEOM FDMS),0.33913,R,ugm-3,4.34940,R,ugm-3,4.86940,R,ugm-3,8.200,R,ugm-3 (TEOM FDMS),7.300,R,ugm-3 (TEOM FDMS),52.03788,R,ugm-3,5.925,R,ugm-3 (TEOM FDMS),3.400,R,ugm-3 (TEOM FDMS),4.900,R,ugm-3 (TEOM FDMS)
01-01-2019,08:00,8.900,R,ugm-3 (TEOM FDMS),0.52412,R,ugm-3,10.92075,R,ugm-3,11.72438,R,ugm-3,6.400,R,ugm-3 (TEOM FDMS),7.700,R,ugm-3 (TEOM FDMS),40.91185,R,ugm-3,4.525,R,ugm-3 (TEOM FDMS),2.500,R,ugm-3 (TEOM FDMS),3.100,R,ugm-3 (TEOM FDMS)
01-01-2019,09:00,11.300,R,ugm-3 (TEOM FDMS),2.58975,R,ugm-3,31.34409,R,ugm-3,35.31497,R,ugm-3,8.900,R,ugm-3 (TEOM FDMS),9.900,R,ugm-3 (TEOM FDMS),20.55571,R,ugm-3,8.325,R,ugm-3 (TEOM FDMS),2.400,R,ugm-3 (TEOM FDMS),4.700,R,ugm-3 (TEOM FDMS)
