Data supplied by UK-AIR on 8/9/2010
All Data GMT hour ending  NB:  Upto 07/07/2008 PM10 were measured with a Standard TEOM, from 01/01/2008 PM10 were measured with a VCM TEOM
Status: R =Ratified P=Provisional,P*=As supplied
,,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM10 particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM10 (Hourly measured)",status,unit,"Non-volatile PM2.5 (Hourly measured)",status,unit,"Ozone",status,unit,"PM2.5 particulate matter (Hourly measured)",status,unit,"Volatile PM10 (Hourly measured)",status,unit,"Volatile PM2.5 (Hourly measured)",status,unit
 
01-01-2008,01:00,13,R,ugm-3 (VCM),1,R,ugm-3,27,R,ugm-3,29,R,ugm-3,,,,,,,40,R,ugm-3,,,,,,,,,
01-01-2008,02:00,26,R,ugm-3 (VCM),1,R,ugm-3,13,R,ugm-3,15,R,ugm-3,,,,,,,52,R,ugm-3,,,,,,,,,
01-01-2008,03:00,30,R,ugm-3 (VCM),8,R,ugm-3,52,R,ugm-3,63,R,ugm-3,,,,,,,12,R,ugm-3,,,,,,,,,
01-01-2008,04:00,24,R,ugm-3 (VCM),8,R,ugm-3,53,R,ugm-3,65,R,ugm-3,,,,,,,6,R,ugm-3,,,,,,,,,
01-01-2008,05:00,12,R,ugm-3 (VCM),1,R,ugm-3,27,R,ugm-3,29,R,ugm-3,,,,,,,24,R,ugm-3,,,,,,,,,
01-01-2008,06:00,13,R,ugm-3 (VCM),1,R,ugm-3,27,R,ugm-3,29,R,ugm-3,,,,,,,24,R,ugm-3,,,,,,,,,
01-01-2008,07:00,16,R,ugm-3 (VCM),3,R,ugm-3,34,R,ugm-3,38,R,ugm-3,,,,,,,14,R,ugm-3,,,,,,,,,
01-01-2008,08:00,14,R,ugm-3 (VCM),9,R,ugm-3,44,R,ugm-3,57,R,ugm-3,,,,,,,2,R,ugm-3,,,,,,,,,
01-01-2008,09:00,15,R,ugm-3 (VCM),3,R,ugm-3,29,R,ugm-3,32,R,ugm-3,,,,,,,14,R,ugm-3,,,,,,,,,
01-01-2008,10:00,19,R,ugm-3 (VCM),25,R,ugm-3,40,R,ugm-3,78,R,ugm-3,,,,,,,8,R,ugm-3,,,,,,,,,
01-01-2008,11:00,19,R,ugm-3 (VCM),4,R,ugm-3,29,R,ugm-3,34,R,ugm-3,,,,,,,30,R,ugm-3,,,,,,,,,
01-01-2008,12:00,14,R,ugm-3 (VCM),9,R,ugm-3,38,R,ugm-3,52,R,ugm-3,,,,,,,26,R,ugm-3,,,,,,,,,
