Data supplied by UK-AIR on 8/6/2019
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2018,01:00,6.600,R,ugm-3 (TEOM FDMS),0.39446,R,ugm-3,1.82937,R,ugm-3,2.43420,R,ugm-3,4.700,R,ugm-3 (TEOM FDMS),3.900,R,ugm-3 (TEOM FDMS),79.49538,R,ugm-3,4.100,R,ugm-3 (TEOM FDMS),1.900,R,ugm-3 (TEOM FDMS),0.200,R,ugm-3 (TEOM FDMS)
01-01-2018,02:00,8.900,R,ugm-3 (TEOM FDMS),0.36159,R,ugm-3,2.46229,R,ugm-3,3.01671,R,ugm-3,5.900,R,ugm-3 (TEOM FDMS),3.500,R,ugm-3 (TEOM FDMS),71.91172,R,ugm-3,3.700,R,ugm-3 (TEOM FDMS),3.000,R,ugm-3 (TEOM FDMS),0.200,R,ugm-3 (TEOM FDMS)
01-01-2018,03:00,13.400,R,ugm-3 (TEOM FDMS),0.29584,R,ugm-3,1.60876,R,ugm-3,2.06239,R,ugm-3,9.100,R,ugm-3 (TEOM FDMS),1.900,R,ugm-3 (TEOM FDMS),73.99058,R,ugm-3,3.400,R,ugm-3 (TEOM FDMS),4.300,R,ugm-3 (TEOM FDMS),1.500,R,ugm-3 (TEOM FDMS)
01-01-2018,04:00,11.900,R,ugm-3 (TEOM FDMS),0.13149,R,ugm-3,1.43649,R,ugm-3,1.63810,R,ugm-3,6.700,R,ugm-3 (TEOM FDMS),0.800,R,ugm-3 (TEOM FDMS),73.89079,R,ugm-3,1.800,R,ugm-3 (TEOM FDMS),5.200,R,ugm-3 (TEOM FDMS),1.000,R,ugm-3 (TEOM FDMS)
01-01-2018,05:00,12.200,R,ugm-3 (TEOM FDMS),0.13149,R,ugm-3,1.16594,R,ugm-3,1.36754,R,ugm-3,7.200,R,ugm-3 (TEOM FDMS),3.900,R,ugm-3 (TEOM FDMS),73.89079,R,ugm-3,5.500,R,ugm-3 (TEOM FDMS),5.000,R,ugm-3 (TEOM FDMS),1.600,R,ugm-3 (TEOM FDMS)
01-01-2018,06:00,20.100,R,ugm-3 (TEOM FDMS),0.19723,R,ugm-3,2.01946,R,ugm-3,2.32187,R,ugm-3,16.200,R,ugm-3 (TEOM FDMS),3.100,R,ugm-3 (TEOM FDMS),75.13811,R,ugm-3,5.600,R,ugm-3 (TEOM FDMS),3.900,R,ugm-3 (TEOM FDMS),2.500,R,ugm-3 (TEOM FDMS)
01-01-2018,07:00,19.600,R,ugm-3 (TEOM FDMS),0.32872,R,ugm-3,11.03153,R,ugm-3,11.53555,R,ugm-3,13.600,R,ugm-3 (TEOM FDMS),3.100,R,ugm-3 (TEOM FDMS),63.81251,R,ugm-3,7.600,R,ugm-3 (TEOM FDMS),6.000,R,ugm-3 (TEOM FDMS),4.500,R,ugm-3 (TEOM FDMS)
01-01-2018,08:00,21.900,R,ugm-3 (TEOM FDMS),0.49307,R,ugm-3,15.71308,R,ugm-3,16.46911,R,ugm-3,16.700,R,ugm-3 (TEOM FDMS),5.500,R,ugm-3 (TEOM FDMS),51.58885,R,ugm-3,9.600,R,ugm-3 (TEOM FDMS),5.200,R,ugm-3 (TEOM FDMS),4.100,R,ugm-3 (TEOM FDMS)
01-01-2018,09:00,27.500,R,ugm-3 (TEOM FDMS),0.55882,R,ugm-3,11.33584,R,ugm-3,12.19268,R,ugm-3,19.900,R,ugm-3 (TEOM FDMS),0.500,R,ugm-3 (TEOM FDMS),57.87530,R,ugm-3,1.800,R,ugm-3 (TEOM FDMS),7.600,R,ugm-3 (TEOM FDMS),1.300,R,ugm-3 (TEOM FDMS)
01-01-2018,10:00,19.400,R,ugm-3 (TEOM FDMS),0.46020,R,ugm-3,7.19217,R,ugm-3,7.89780,R,ugm-3,16.200,R,ugm-3 (TEOM FDMS),2.300,R,ugm-3 (TEOM FDMS),65.45896,R,ugm-3,3.700,R,ugm-3 (TEOM FDMS),3.200,R,ugm-3 (TEOM FDMS),1.400,R,ugm-3 (TEOM FDMS)
01-01-2018,11:00,16.100,R,ugm-3 (TEOM FDMS),0.75605,R,ugm-3,16.60198,R,ugm-3,17.76123,R,ugm-3,11.700,R,ugm-3 (TEOM FDMS),-0.700,R,ugm-3 (TEOM FDMS),53.88390,R,ugm-3,1.100,R,ugm-3 (TEOM FDMS),4.400,R,ugm-3 (TEOM FDMS),1.800,R,ugm-3 (TEOM FDMS)
01-01-2018,12:00,11.200,R,ugm-3 (TEOM FDMS),1.31486,R,ugm-3,18.33307,R,ugm-3,20.34916,R,ugm-3,6.200,R,ugm-3 (TEOM FDMS),3.300,R,ugm-3 (TEOM FDMS),51.48906,R,ugm-3,2.300,R,ugm-3 (TEOM FDMS),5.000,R,ugm-3 (TEOM FDMS),-1.000,R,ugm-3 (TEOM FDMS)
01-01-2018,13:00,10.000,R,ugm-3 (TEOM FDMS),2.36675,R,ugm-3,21.57302,R,ugm-3,25.20198,R,ugm-3,6.900,R,ugm-3 (TEOM FDMS),4.000,R,ugm-3 (TEOM FDMS),51.43917,R,ugm-3,3.400,R,ugm-3 (TEOM FDMS),3.100,R,ugm-3 (TEOM FDMS),-0.600,R,ugm-3 (TEOM FDMS)
01-01-2018,14:00,12.900,R,ugm-3 (TEOM FDMS),2.26813,R,ugm-3,14.72378,R,ugm-3,18.20154,R,ugm-3,7.500,R,ugm-3 (TEOM FDMS),2.800,R,ugm-3 (TEOM FDMS),52.68648,R,ugm-3,2.800,R,ugm-3 (TEOM FDMS),5.400,R,ugm-3 (TEOM FDMS),0.000,R,ugm-3 (TEOM FDMS)
01-01-2018,15:00,8.700,R,ugm-3 (TEOM FDMS),1.34773,R,ugm-3,9.80892,R,ugm-3,11.87541,R,ugm-3,6.600,R,ugm-3 (TEOM FDMS),2.600,R,ugm-3 (TEOM FDMS),61.51745,R,ugm-3,2.900,R,ugm-3 (TEOM FDMS),2.100,R,ugm-3 (TEOM FDMS),0.300,R,ugm-3 (TEOM FDMS)
01-01-2018,16:00,12.400,R,ugm-3 (TEOM FDMS),1.21625,R,ugm-3,10.04086,R,ugm-3,11.90575,R,ugm-3,7.500,R,ugm-3 (TEOM FDMS),6.300,R,ugm-3 (TEOM FDMS),60.46971,R,ugm-3,5.400,R,ugm-3 (TEOM FDMS),4.900,R,ugm-3 (TEOM FDMS),-0.900,R,ugm-3 (TEOM FDMS)
01-01-2018,17:00,14.400,R,ugm-3 (TEOM FDMS),0.78892,R,ugm-3,10.69321,R,ugm-3,11.90287,R,ugm-3,11.100,R,ugm-3 (TEOM FDMS),6.500,R,ugm-3 (TEOM FDMS),60.81896,R,ugm-3,6.100,R,ugm-3 (TEOM FDMS),3.300,R,ugm-3 (TEOM FDMS),-0.400,R,ugm-3 (TEOM FDMS)
01-01-2018,18:00,16.500,R,ugm-3 (TEOM FDMS),0.85466,R,ugm-3,8.16478,R,ugm-3,9.47524,R,ugm-3,13.900,R,ugm-3 (TEOM FDMS),7.000,R,ugm-3 (TEOM FDMS),63.06412,R,ugm-3,6.000,R,ugm-3 (TEOM FDMS),2.600,R,ugm-3 (TEOM FDMS),-1.000,R,ugm-3 (TEOM FDMS)
01-01-2018,19:00,15.100,R,ugm-3 (TEOM FDMS),0.69030,R,ugm-3,8.17287,R,ugm-3,9.23132,R,ugm-3,14.500,R,ugm-3 (TEOM FDMS),8.300,R,ugm-3 (TEOM FDMS),65.70842,R,ugm-3,8.000,R,ugm-3 (TEOM FDMS),0.600,R,ugm-3 (TEOM FDMS),-0.300,R,ugm-3 (TEOM FDMS)
01-01-2018,20:00,17.100,R,ugm-3 (TEOM FDMS),0.75605,R,ugm-3,6.36593,R,ugm-3,7.52518,R,ugm-3,14.200,R,ugm-3 (TEOM FDMS),6.700,R,ugm-3 (TEOM FDMS),68.10326,R,ugm-3,5.100,R,ugm-3 (TEOM FDMS),2.900,R,ugm-3 (TEOM FDMS),-1.600,R,ugm-3 (TEOM FDMS)
01-01-2018,21:00,19.600,R,ugm-3 (TEOM FDMS),0.55882,R,ugm-3,7.14222,R,ugm-3,7.99906,R,ugm-3,15.300,R,ugm-3 (TEOM FDMS),5.800,R,ugm-3 (TEOM FDMS),66.60649,R,ugm-3,4.900,R,ugm-3 (TEOM FDMS),4.300,R,ugm-3 (TEOM FDMS),-0.900,R,ugm-3 (TEOM FDMS)
01-01-2018,22:00,17.000,R,ugm-3 (TEOM FDMS),0.49307,R,ugm-3,5.34175,R,ugm-3,6.09778,R,ugm-3,13.500,R,ugm-3 (TEOM FDMS),7.800,R,ugm-3 (TEOM FDMS),66.20735,R,ugm-3,6.500,R,ugm-3 (TEOM FDMS),3.500,R,ugm-3 (TEOM FDMS),-1.300,R,ugm-3 (TEOM FDMS)
01-01-2018,23:00,18.200,R,ugm-3 (TEOM FDMS),0.39446,R,ugm-3,4.62512,R,ugm-3,5.22995,R,ugm-3,15.200,R,ugm-3 (TEOM FDMS),6.600,R,ugm-3 (TEOM FDMS),62.66498,R,ugm-3,5.000,R,ugm-3 (TEOM FDMS),3.000,R,ugm-3 (TEOM FDMS),-1.600,R,ugm-3 (TEOM FDMS)
01-01-2018,24:00,15.200,R,ugm-3 (TEOM FDMS),0.39446,R,ugm-3,5.03096,R,ugm-3,5.63578,R,ugm-3,16.000,R,ugm-3 (TEOM FDMS),5.800,R,ugm-3 (TEOM FDMS),60.22025,R,ugm-3,5.100,R,ugm-3 (TEOM FDMS),-0.800,R,ugm-3 (TEOM FDMS),-0.700,R,ugm-3 (TEOM FDMS)
02-01-2018,01:00,15.800,R,ugm-3 (TEOM FDMS),0.21917,R,ugm-3,2.51753,R,ugm-3,2.85359,R,ugm-3,13.000,R,ugm-3 (TEOM FDMS),3.700,R,ugm-3 (TEOM FDMS),59.33881,R,ugm-3,3.400,R,ugm-3 (TEOM FDMS),2.800,R,ugm-3 (TEOM FDMS),-0.300,R,ugm-3 (TEOM FDMS)
02-01-2018,02:00,19.700,R,ugm-3 (TEOM FDMS),0.46026,R,ugm-3,3.63457,R,ugm-3,4.34029,R,ugm-3,13.400,R,ugm-3 (TEOM FDMS),4.300,R,ugm-3 (TEOM FDMS),57.54268,R,ugm-3,5.600,R,ugm-3 (TEOM FDMS),6.300,R,ugm-3 (TEOM FDMS),1.300,R,ugm-3 (TEOM FDMS)
02-01-2018,03:00,16.200,R,ugm-3 (TEOM FDMS),0.13150,R,ugm-3,2.38630,R,ugm-3,2.58793,R,ugm-3,12.900,R,ugm-3 (TEOM FDMS),5.300,R,ugm-3 (TEOM FDMS),59.37208,R,ugm-3,6.800,R,ugm-3 (TEOM FDMS),3.300,R,ugm-3 (TEOM FDMS),1.500,R,ugm-3 (TEOM FDMS)
02-01-2018,04:00,18.200,R,ugm-3 (TEOM FDMS),0.19725,R,ugm-3,1.57057,R,ugm-3,1.87302,R,ugm-3,15.300,R,ugm-3 (TEOM FDMS),5.400,R,ugm-3 (TEOM FDMS),58.52390,R,ugm-3,6.800,R,ugm-3 (TEOM FDMS),2.900,R,ugm-3 (TEOM FDMS),1.400,R,ugm-3 (TEOM FDMS)
02-01-2018,05:00,18.200,R,ugm-3 (TEOM FDMS),0.42738,R,ugm-3,8.06019,R,ugm-3,8.71550,R,ugm-3,13.500,R,ugm-3 (TEOM FDMS),3.400,R,ugm-3 (TEOM FDMS),36.07228,R,ugm-3,4.600,R,ugm-3 (TEOM FDMS),4.700,R,ugm-3 (TEOM FDMS),1.200,R,ugm-3 (TEOM FDMS)
02-01-2018,06:00,,,,38.72758,R,ugm-3,52.27194,R,ugm-3,111.65340,R,ugm-3,,,,7.300,R,ugm-3 (TEOM FDMS),2.74409,R,ugm-3,9.400,R,ugm-3 (TEOM FDMS),,,,2.100,R,ugm-3 (TEOM FDMS)
02-01-2018,07:00,,,,123.44826,R,ugm-3,61.21537,R,ugm-3,250.50007,R,ugm-3,,,,4.100,R,ugm-3 (TEOM FDMS),0.79828,R,ugm-3,6.600,R,ugm-3 (TEOM FDMS),,,,2.500,R,ugm-3 (TEOM FDMS)
02-01-2018,08:00,,,,215.17147,R,ugm-3,70.09426,R,ugm-3,400.01925,R,ugm-3,,,,7.700,R,ugm-3 (TEOM FDMS),0.84817,R,ugm-3,10.500,R,ugm-3 (TEOM FDMS),,,,2.800,R,ugm-3 (TEOM FDMS)
02-01-2018,09:00,27.500,R,ugm-3 (TEOM FDMS),23.50613,R,ugm-3,49.20896,R,ugm-3,85.25119,R,ugm-3,21.600,R,ugm-3 (TEOM FDMS),3.600,R,ugm-3 (TEOM FDMS),15.66625,R,ugm-3,6.100,R,ugm-3 (TEOM FDMS),5.900,R,ugm-3 (TEOM FDMS),2.500,R,ugm-3 (TEOM FDMS)
02-01-2018,10:00,22.200,R,ugm-3 (TEOM FDMS),1.11777,R,ugm-3,25.00102,R,ugm-3,26.71491,R,ugm-3,19.600,R,ugm-3 (TEOM FDMS),3.000,R,ugm-3 (TEOM FDMS),42.85766,R,ugm-3,6.000,R,ugm-3 (TEOM FDMS),2.600,R,ugm-3 (TEOM FDMS),3.000,R,ugm-3 (TEOM FDMS)
02-01-2018,11:00,24.400,R,ugm-3 (TEOM FDMS),0.69039,R,ugm-3,11.07220,R,ugm-3,12.13078,R,ugm-3,17.400,R,ugm-3 (TEOM FDMS),1.600,R,ugm-3 (TEOM FDMS),56.62799,R,ugm-3,4.000,R,ugm-3 (TEOM FDMS),7.000,R,ugm-3 (TEOM FDMS),2.400,R,ugm-3 (TEOM FDMS)
02-01-2018,12:00,14.600,R,ugm-3 (TEOM FDMS),0.92052,R,ugm-3,13.31834,R,ugm-3,14.72978,R,ugm-3,9.400,R,ugm-3 (TEOM FDMS),-0.300,R,ugm-3 (TEOM FDMS),58.67358,R,ugm-3,2.600,R,ugm-3 (TEOM FDMS),5.200,R,ugm-3 (TEOM FDMS),2.900,R,ugm-3 (TEOM FDMS)
02-01-2018,13:00,8.200,R,ugm-3 (TEOM FDMS),1.18353,R,ugm-3,18.90352,R,ugm-3,20.71823,R,ugm-3,2.500,R,ugm-3 (TEOM FDMS),-3.100,R,ugm-3 (TEOM FDMS),50.94024,R,ugm-3,-0.700,R,ugm-3 (TEOM FDMS),5.700,R,ugm-3 (TEOM FDMS),2.400,R,ugm-3 (TEOM FDMS)
02-01-2018,14:00,2.800,R,ugm-3 (TEOM FDMS),1.77529,R,ugm-3,18.10774,R,ugm-3,20.82981,R,ugm-3,0.500,R,ugm-3 (TEOM FDMS),1.400,R,ugm-3 (TEOM FDMS),50.89035,R,ugm-3,3.600,R,ugm-3 (TEOM FDMS),2.300,R,ugm-3 (TEOM FDMS),2.200,R,ugm-3 (TEOM FDMS)
02-01-2018,15:00,4.300,R,ugm-3 (TEOM FDMS),0.85477,R,ugm-3,7.54314,R,ugm-3,8.85377,R,ugm-3,3.800,R,ugm-3 (TEOM FDMS),4.800,R,ugm-3 (TEOM FDMS),60.61939,R,ugm-3,6.500,R,ugm-3 (TEOM FDMS),0.500,R,ugm-3 (TEOM FDMS),1.700,R,ugm-3 (TEOM FDMS)
02-01-2018,16:00,13.300,R,ugm-3 (TEOM FDMS),0.98627,R,ugm-3,8.53000,R,ugm-3,10.04226,R,ugm-3,8.900,R,ugm-3 (TEOM FDMS),7.300,R,ugm-3 (TEOM FDMS),57.72562,R,ugm-3,6.000,R,ugm-3 (TEOM FDMS),4.400,R,ugm-3 (TEOM FDMS),-1.300,R,ugm-3 (TEOM FDMS)
02-01-2018,17:00,17.600,R,ugm-3 (TEOM FDMS),0.92052,R,ugm-3,9.12001,R,ugm-3,10.53145,R,ugm-3,17.600,R,ugm-3 (TEOM FDMS),6.700,R,ugm-3 (TEOM FDMS),59.42197,R,ugm-3,10.500,R,ugm-3 (TEOM FDMS),0.000,R,ugm-3 (TEOM FDMS),3.800,R,ugm-3 (TEOM FDMS)
02-01-2018,18:00,23.800,R,ugm-3 (TEOM FDMS),0.92052,R,ugm-3,12.14461,R,ugm-3,13.55606,R,ugm-3,18.900,R,ugm-3 (TEOM FDMS),12.400,R,ugm-3 (TEOM FDMS),54.43272,R,ugm-3,14.500,R,ugm-3 (TEOM FDMS),4.900,R,ugm-3 (TEOM FDMS),2.100,R,ugm-3 (TEOM FDMS)
02-01-2018,19:00,28.800,R,ugm-3 (TEOM FDMS),0.82189,R,ugm-3,14.49679,R,ugm-3,15.75701,R,ugm-3,25.400,R,ugm-3 (TEOM FDMS),10.300,R,ugm-3 (TEOM FDMS),53.93379,R,ugm-3,12.500,R,ugm-3 (TEOM FDMS),3.400,R,ugm-3 (TEOM FDMS),2.200,R,ugm-3 (TEOM FDMS)
02-01-2018,20:00,32.900,R,ugm-3 (TEOM FDMS),0.75614,R,ugm-3,10.70790,R,ugm-3,11.86730,R,ugm-3,30.600,R,ugm-3 (TEOM FDMS),9.100,R,ugm-3 (TEOM FDMS),58.17466,R,ugm-3,14.500,R,ugm-3 (TEOM FDMS),2.300,R,ugm-3 (TEOM FDMS),5.400,R,ugm-3 (TEOM FDMS)
02-01-2018,21:00,30.300,R,ugm-3 (TEOM FDMS),0.52601,R,ugm-3,9.63548,R,ugm-3,10.44202,R,ugm-3,24.400,R,ugm-3 (TEOM FDMS),5.600,R,ugm-3 (TEOM FDMS),57.07702,R,ugm-3,14.000,R,ugm-3 (TEOM FDMS),5.900,R,ugm-3 (TEOM FDMS),8.400,R,ugm-3 (TEOM FDMS)
02-01-2018,22:00,23.700,R,ugm-3 (TEOM FDMS),2.63006,R,ugm-3,19.15024,R,ugm-3,23.18293,R,ugm-3,16.100,R,ugm-3 (TEOM FDMS),-0.700,R,ugm-3 (TEOM FDMS),47.64734,R,ugm-3,3.800,R,ugm-3 (TEOM FDMS),7.600,R,ugm-3 (TEOM FDMS),4.500,R,ugm-3 (TEOM FDMS)
02-01-2018,23:00,14.200,R,ugm-3 (TEOM FDMS),0.46026,R,ugm-3,5.75630,R,ugm-3,6.46203,R,ugm-3,8.000,R,ugm-3 (TEOM FDMS),,,,57.52605,R,ugm-3,,,,6.200,R,ugm-3 (TEOM FDMS),,,
02-01-2018,24:00,8.000,R,ugm-3 (TEOM FDMS),0.32876,R,ugm-3,4.63402,R,ugm-3,5.13811,R,ugm-3,3.300,R,ugm-3 (TEOM FDMS),3.400,R,ugm-3 (TEOM FDMS),60.02068,R,ugm-3,6.100,R,ugm-3 (TEOM FDMS),4.700,R,ugm-3 (TEOM FDMS),2.700,R,ugm-3 (TEOM FDMS)
03-01-2018,01:00,9.700,R,ugm-3 (TEOM FDMS),0.19728,R,ugm-3,4.28425,R,ugm-3,4.58674,R,ugm-3,4.300,R,ugm-3 (TEOM FDMS),0.400,R,ugm-3 (TEOM FDMS),63.46326,R,ugm-3,3.200,R,ugm-3 (TEOM FDMS),5.400,R,ugm-3 (TEOM FDMS),2.800,R,ugm-3 (TEOM FDMS)
03-01-2018,02:00,7.300,R,ugm-3 (TEOM FDMS),0.19728,R,ugm-3,1.70819,R,ugm-3,2.01068,R,ugm-3,-1.500,R,ugm-3 (TEOM FDMS),-0.100,R,ugm-3 (TEOM FDMS),71.97825,R,ugm-3,2.100,R,ugm-3 (TEOM FDMS),8.800,R,ugm-3 (TEOM FDMS),2.200,R,ugm-3 (TEOM FDMS)
03-01-2018,03:00,10.100,R,ugm-3 (TEOM FDMS),0.13152,R,ugm-3,0.53621,R,ugm-3,0.73787,R,ugm-3,1.800,R,ugm-3 (TEOM FDMS),3.000,R,ugm-3 (TEOM FDMS),78.58069,R,ugm-3,4.800,R,ugm-3 (TEOM FDMS),8.300,R,ugm-3 (TEOM FDMS),1.800,R,ugm-3 (TEOM FDMS)
03-01-2018,04:00,11.500,R,ugm-3 (TEOM FDMS),0.13152,R,ugm-3,0.12946,R,ugm-3,0.33112,R,ugm-3,1.900,R,ugm-3 (TEOM FDMS),3.900,R,ugm-3 (TEOM FDMS),83.71962,R,ugm-3,2.400,R,ugm-3 (TEOM FDMS),9.600,R,ugm-3 (TEOM FDMS),-1.500,R,ugm-3 (TEOM FDMS)
03-01-2018,05:00,16.000,R,ugm-3 (TEOM FDMS),0.23016,R,ugm-3,0.48643,R,ugm-3,0.83933,R,ugm-3,8.900,R,ugm-3 (TEOM FDMS),7.900,R,ugm-3 (TEOM FDMS),84.81725,R,ugm-3,9.300,R,ugm-3 (TEOM FDMS),7.100,R,ugm-3 (TEOM FDMS),1.400,R,ugm-3 (TEOM FDMS)
03-01-2018,06:00,8.100,R,ugm-3 (TEOM FDMS),0.52608,R,ugm-3,6.39306,R,ugm-3,7.19970,R,ugm-3,10.400,R,ugm-3 (TEOM FDMS),10.000,R,ugm-3 (TEOM FDMS),73.94069,R,ugm-3,8.000,R,ugm-3 (TEOM FDMS),-2.300,R,ugm-3 (TEOM FDMS),-2.000,R,ugm-3 (TEOM FDMS)
03-01-2018,07:00,12.000,R,ugm-3 (TEOM FDMS),0.59184,R,ugm-3,6.52559,R,ugm-3,7.43305,R,ugm-3,14.400,R,ugm-3 (TEOM FDMS),7.300,R,ugm-3 (TEOM FDMS),74.68907,R,ugm-3,7.100,R,ugm-3 (TEOM FDMS),-2.400,R,ugm-3 (TEOM FDMS),-0.200,R,ugm-3 (TEOM FDMS)
03-01-2018,08:00,15.300,R,ugm-3 (TEOM FDMS),1.01927,R,ugm-3,11.11548,R,ugm-3,12.67834,R,ugm-3,14.500,R,ugm-3 (TEOM FDMS),7.500,R,ugm-3 (TEOM FDMS),70.04907,R,ugm-3,4.400,R,ugm-3 (TEOM FDMS),0.800,R,ugm-3 (TEOM FDMS),-3.100,R,ugm-3 (TEOM FDMS)
03-01-2018,09:00,18.700,R,ugm-3 (TEOM FDMS),1.18367,R,ugm-3,10.56550,R,ugm-3,12.38044,R,ugm-3,17.700,R,ugm-3 (TEOM FDMS),6.300,R,ugm-3 (TEOM FDMS),69.15101,R,ugm-3,5.100,R,ugm-3 (TEOM FDMS),1.000,R,ugm-3 (TEOM FDMS),-1.200,R,ugm-3 (TEOM FDMS)
03-01-2018,10:00,16.100,R,ugm-3 (TEOM FDMS),1.47959,R,ugm-3,9.06033,R,ugm-3,11.32901,R,ugm-3,15.400,R,ugm-3 (TEOM FDMS),8.500,R,ugm-3 (TEOM FDMS),70.24864,R,ugm-3,6.600,R,ugm-3 (TEOM FDMS),0.700,R,ugm-3 (TEOM FDMS),-1.900,R,ugm-3 (TEOM FDMS)
03-01-2018,11:00,14.900,R,ugm-3 (TEOM FDMS),1.38095,R,ugm-3,6.35329,R,ugm-3,8.47072,R,ugm-3,16.900,R,ugm-3 (TEOM FDMS),8.900,R,ugm-3 (TEOM FDMS),71.19660,R,ugm-3,8.200,R,ugm-3 (TEOM FDMS),-2.000,R,ugm-3 (TEOM FDMS),-0.700,R,ugm-3 (TEOM FDMS)
03-01-2018,12:00,22.700,R,ugm-3 (TEOM FDMS),1.51247,R,ugm-3,7.43182,R,ugm-3,9.75091,R,ugm-3,22.100,R,ugm-3 (TEOM FDMS),11.600,R,ugm-3 (TEOM FDMS),69.94929,R,ugm-3,9.900,R,ugm-3 (TEOM FDMS),0.600,R,ugm-3 (TEOM FDMS),-1.700,R,ugm-3 (TEOM FDMS)
03-01-2018,13:00,19.800,R,ugm-3 (TEOM FDMS),1.74263,R,ugm-3,7.73747,R,ugm-3,10.40946,R,ugm-3,22.300,R,ugm-3 (TEOM FDMS),11.300,R,ugm-3 (TEOM FDMS),69.69982,R,ugm-3,11.700,R,ugm-3 (TEOM FDMS),-2.500,R,ugm-3 (TEOM FDMS),0.400,R,ugm-3 (TEOM FDMS)
03-01-2018,14:00,18.100,R,ugm-3 (TEOM FDMS),1.70975,R,ugm-3,9.27559,R,ugm-3,11.89717,R,ugm-3,20.100,R,ugm-3 (TEOM FDMS),13.000,R,ugm-3 (TEOM FDMS),68.15316,R,ugm-3,14.300,R,ugm-3 (TEOM FDMS),-2.000,R,ugm-3 (TEOM FDMS),1.300,R,ugm-3 (TEOM FDMS)
03-01-2018,15:00,19.200,R,ugm-3 (TEOM FDMS),1.38095,R,ugm-3,9.42648,R,ugm-3,11.54390,R,ugm-3,19.800,R,ugm-3 (TEOM FDMS),9.800,R,ugm-3 (TEOM FDMS),66.40692,R,ugm-3,11.200,R,ugm-3 (TEOM FDMS),-0.600,R,ugm-3 (TEOM FDMS),1.400,R,ugm-3 (TEOM FDMS)
03-01-2018,16:00,11.800,R,ugm-3 (TEOM FDMS),1.18367,R,ugm-3,13.00598,R,ugm-3,14.82092,R,ugm-3,13.800,R,ugm-3 (TEOM FDMS),11.400,R,ugm-3 (TEOM FDMS),61.46756,R,ugm-3,11.800,R,ugm-3 (TEOM FDMS),-2.000,R,ugm-3 (TEOM FDMS),0.400,R,ugm-3 (TEOM FDMS)
03-01-2018,17:00,19.300,R,ugm-3 (TEOM FDMS),1.05215,R,ugm-3,12.15341,R,ugm-3,13.76669,R,ugm-3,18.400,R,ugm-3 (TEOM FDMS),10.200,R,ugm-3 (TEOM FDMS),62.66498,R,ugm-3,11.200,R,ugm-3 (TEOM FDMS),0.900,R,ugm-3 (TEOM FDMS),1.000,R,ugm-3 (TEOM FDMS)
03-01-2018,18:00,23.100,R,ugm-3 (TEOM FDMS),0.92064,R,ugm-3,10.66813,R,ugm-3,12.07975,R,ugm-3,19.200,R,ugm-3 (TEOM FDMS),9.900,R,ugm-3 (TEOM FDMS),66.95574,R,ugm-3,12.300,R,ugm-3 (TEOM FDMS),3.900,R,ugm-3 (TEOM FDMS),2.400,R,ugm-3 (TEOM FDMS)
03-01-2018,19:00,22.200,R,ugm-3 (TEOM FDMS),0.82199,R,ugm-3,10.31117,R,ugm-3,11.57154,R,ugm-3,21.400,R,ugm-3 (TEOM FDMS),12.100,R,ugm-3 (TEOM FDMS),67.90369,R,ugm-3,11.800,R,ugm-3 (TEOM FDMS),0.800,R,ugm-3 (TEOM FDMS),-0.300,R,ugm-3 (TEOM FDMS)
03-01-2018,20:00,26.500,R,ugm-3 (TEOM FDMS),0.69048,R,ugm-3,9.09705,R,ugm-3,10.15577,R,ugm-3,23.900,R,ugm-3 (TEOM FDMS),10.500,R,ugm-3 (TEOM FDMS),69.64993,R,ugm-3,12.300,R,ugm-3 (TEOM FDMS),2.600,R,ugm-3 (TEOM FDMS),1.800,R,ugm-3 (TEOM FDMS)
