Data supplied by UK-AIR on 2/12/2024
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2024,01:00,11.300,R,ugm-3 (FIDAS),0.25229,R,ugm-3,1.28862,R,ugm-3,1.67547,R,ugm-3,,,,6.156,R,ugm-3 (Ref.eq)
01-01-2024,02:00,10.250,R,ugm-3 (FIDAS),0.25229,R,ugm-3,1.91094,R,ugm-3,2.29778,R,ugm-3,68.38599,R,ugm-3,5.613,R,ugm-3 (Ref.eq)
01-01-2024,03:00,10.900,R,ugm-3 (FIDAS),0.25229,R,ugm-3,1.24075,R,ugm-3,1.62760,R,ugm-3,67.85380,R,ugm-3,5.873,R,ugm-3 (Ref.eq)
01-01-2024,04:00,16.250,R,ugm-3 (FIDAS),0.28383,R,ugm-3,1.00092,R,ugm-3,1.43611,R,ugm-3,69.00133,R,ugm-3,7.901,R,ugm-3 (Ref.eq)
01-01-2024,05:00,17.625,R,ugm-3 (FIDAS),0.15768,R,ugm-3,0.71563,R,ugm-3,0.95741,R,ugm-3,69.74972,R,ugm-3,8.750,R,ugm-3 (Ref.eq)
01-01-2024,06:00,18.725,R,ugm-3 (FIDAS),0.18922,R,ugm-3,0.90663,R,ugm-3,1.19676,R,ugm-3,70.99703,R,ugm-3,9.222,R,ugm-3 (Ref.eq)
01-01-2024,07:00,19.400,R,ugm-3 (FIDAS),0.25229,R,ugm-3,1.09714,R,ugm-3,1.48398,R,ugm-3,71.89509,R,ugm-3,9.245,R,ugm-3 (Ref.eq)
01-01-2024,08:00,18.300,R,ugm-3 (FIDAS),0.15768,R,ugm-3,1.48156,R,ugm-3,1.72334,R,ugm-3,72.14456,R,ugm-3,8.278,R,ugm-3 (Ref.eq)
01-01-2024,09:00,11.900,R,ugm-3 (FIDAS),0.22076,R,ugm-3,2.39013,R,ugm-3,2.72862,R,ugm-3,70.99703,R,ugm-3,5.283,R,ugm-3 (Ref.eq)
01-01-2024,10:00,11.675,R,ugm-3 (FIDAS),0.34690,R,ugm-3,2.67541,R,ugm-3,3.20732,R,ugm-3,70.89724,R,ugm-3,5.189,R,ugm-3 (Ref.eq)
01-01-2024,11:00,17.000,R,ugm-3 (FIDAS),0.69381,R,ugm-3,4.10619,R,ugm-3,5.17001,R,ugm-3,67.50455,R,ugm-3,6.840,R,ugm-3 (Ref.eq)
01-01-2024,12:00,16.275,R,ugm-3 (FIDAS),0.53612,R,ugm-3,5.11389,R,ugm-3,5.93594,R,ugm-3,66.60649,R,ugm-3,6.651,R,ugm-3 (Ref.eq)
01-01-2024,13:00,17.050,R,ugm-3 (FIDAS),0.91456,R,ugm-3,11.71419,R,ugm-3,13.11650,R,ugm-3,59.32218,R,ugm-3,7.099,R,ugm-3 (Ref.eq)
01-01-2024,14:00,17.950,R,ugm-3 (FIDAS),1.04071,R,ugm-3,16.02059,R,ugm-3,17.61632,R,ugm-3,54.78197,R,ugm-3,7.547,R,ugm-3 (Ref.eq)
01-01-2024,15:00,11.700,R,ugm-3 (FIDAS),0.72534,R,ugm-3,11.33414,R,ugm-3,12.44632,R,ugm-3,59.92089,R,ugm-3,5.896,R,ugm-3 (Ref.eq)
01-01-2024,16:00,13.150,R,ugm-3 (FIDAS),0.63073,R,ugm-3,11.23985,R,ugm-3,12.20696,R,ugm-3,62.46541,R,ugm-3,6.462,R,ugm-3 (Ref.eq)
01-01-2024,17:00,14.950,R,ugm-3 (FIDAS),0.28383,R,ugm-3,4.97416,R,ugm-3,5.40936,R,ugm-3,69.35058,R,ugm-3,7.453,R,ugm-3 (Ref.eq)
01-01-2024,18:00,16.425,R,ugm-3 (FIDAS),0.34690,R,ugm-3,4.49449,R,ugm-3,5.02640,R,ugm-3,67.25509,R,ugm-3,8.019,R,ugm-3 (Ref.eq)
01-01-2024,19:00,14.975,R,ugm-3 (FIDAS),0.31537,R,ugm-3,4.68645,R,ugm-3,5.17001,R,ugm-3,66.40692,R,ugm-3,7.995,R,ugm-3 (Ref.eq)
01-01-2024,20:00,14.175,R,ugm-3 (FIDAS),0.31537,R,ugm-3,3.44182,R,ugm-3,3.92538,R,ugm-3,67.65423,R,ugm-3,7.476,R,ugm-3 (Ref.eq)
01-01-2024,21:00,8.625,R,ugm-3 (FIDAS),0.34690,R,ugm-3,9.52088,R,ugm-3,10.05279,R,ugm-3,67.35488,R,ugm-3,4.764,R,ugm-3 (Ref.eq)
01-01-2024,22:00,8.225,R,ugm-3 (FIDAS),0.25229,R,ugm-3,10.19253,R,ugm-3,10.57937,R,ugm-3,73.59144,R,ugm-3,5.189,R,ugm-3 (Ref.eq)
01-01-2024,23:00,4.825,R,ugm-3 (FIDAS),0.44151,R,ugm-3,6.88655,R,ugm-3,7.56353,R,ugm-3,76.33553,R,ugm-3,2.759,R,ugm-3 (Ref.eq)
01-01-2024,24:00,5.000,R,ugm-3 (FIDAS),0.15768,R,ugm-3,3.63573,R,ugm-3,3.87751,R,ugm-3,77.38327,R,ugm-3,3.184,R,ugm-3 (Ref.eq)
02-01-2024,01:00,12.350,R,ugm-3 (FIDAS),0.18915,R,ugm-3,1.24099,R,ugm-3,1.53101,R,ugm-3,,,,7.099,R,ugm-3 (Ref.eq)
02-01-2024,02:00,21.525,R,ugm-3 (FIDAS),0.12610,R,ugm-3,1.05060,R,ugm-3,1.24395,R,ugm-3,81.09194,R,ugm-3,11.910,R,ugm-3 (Ref.eq)
02-01-2024,03:00,27.750,R,ugm-3 (FIDAS),0.22067,R,ugm-3,0.71421,R,ugm-3,1.05257,R,ugm-3,79.52865,R,ugm-3,15.778,R,ugm-3 (Ref.eq)
02-01-2024,04:00,26.600,R,ugm-3 (FIDAS),0.09457,R,ugm-3,0.90756,R,ugm-3,1.05257,R,ugm-3,80.52650,R,ugm-3,15.047,R,ugm-3 (Ref.eq)
02-01-2024,05:00,22.350,R,ugm-3 (FIDAS),0.22067,R,ugm-3,1.24050,R,ugm-3,1.57886,R,ugm-3,80.97553,R,ugm-3,12.925,R,ugm-3 (Ref.eq)
